Scientific Name,Migratory Status
Loxops coccineus coccineus,N
Loxops coccineus ochraceus,N
Hemignathus procerus,N
Hemignathus munroi,N
Diomedea amsterdamensis,Y
Phoebastria albatrus,Y
Alethe choloensis,N
Agelaius xanthomus,N
Colinus virginianus ridgwayi,N
Papasula (Sula) abbotti,N
Dasyornis longirostris,N
Dasyornis broadbenti litoralis,N
Hypsipetes borbonicus olivaceus,N
Pyrrhula pyrrhula murina,N
Malaconotus alius,N
Xenicus longipes,N
Ardeotis nigriceps,N
Pterodroma cahow,Y
Polyborus plancus audubonii,Y
Vultur gryphus,Y
Gymnogyps californianus,N
Fulica americana alai,N
Cotinga maculata,N
Xipholena atropurpurea,N
Grus nigricollis,Y
Grus canadensis nesiotes,Y
Grus monacha,Y
Grus japonensis,Y
Grus canadensis pulla,Y
Grus leucogeranus,Y
Grus vipio,Y
Grus americana,Y
Oreomystis mana,N
Paroreomyza flammea,N
Paroreomyza maculata,N
Corvus hawaiiensis,N
Corvus kubaryi,N
Corvus leucognaphalus,N
Coracina typica,N
Coracina newtoni,N
Mitu tuberosum,N
Crax blumenbachii,N
Aburria pipile,N
Numenius borealis,Y
Drepanoptila holosericea,N
Leptotila rufaxilla wellsi,N
Anas wyvilliana,N
Anas laysanensis,N
Rhodonessa caryophyllacea,N
Cairina scutulata,N
Haliaeetus leucocephalus,Y
Haliaeetus albicilla groenlandicus,Y
Harpia harpyja,N
Haliaeetus vociferoides,N
Eutriorchis astur,N
Pithecophaga jefferyi,N
Aquila heliaca adalberti,N
Egretta eulophotes,Y
Somateria fischeri,Y
Polysticta stelleri,Y
Chasiempis ibidis,N
Falco peregrinus peregrinus,Y
Falco femoralis septentrionalis,Y
Telespiza cantans,N
Telespiza ultima,N
Empidonax euleri johnstonei,Y
Terpsiphone corvina,N
Empidonax traillii extimus,Y
Pomarea nigra,N
Foudia rubra,N
Foudia flavicans,N
Foudia sechellarum,N
Francolinus ochropectus,N
Pterodroma madeira,Y
Fregata andrewsi,N
Polioptila californica californica,N
Branta sandvicensis,N
Accipiter fasciatus natalis,N
Quiscalus palustris,N
Amytornis goyderi,N
Tachybaptus rufolavatus,N
Podilymbus gigas,N
Tringa guttifer,Y
Oreophasis derbianus,N
Penelope albipennis,N
Agelastes meleagrides,N
Larus audouinii,Y
Larus relictus,Y
Buteo galapagoensis,N
Buteo solitarius,N
Buteo platypterus brunnescens,N
Accipiter striatus venator,Y
Ramphodon (Glaucis) dohrnii,N
Palmeria dolei,N
Lichenostomus melanops cassidix (Meliphaga c.),N
Buceros vigil,N
Nipponia nippon,N
Geronticus eremita,Y
Aphelocoma coerulescens,N
Rhynochetos jubatus,N
Strigops habroptila f,N
Falco punctatus,N
Falco araea,N
Halcyon cinnamomina cinnamomina,N
Chondrohierax uncinatus wilsonii,N
Rostrhamus sociabilis plumbeus,N
Chondrohierax uncinatus mirus,N
Callaeas cinerea,N
Alauda razae,N
Anodorhynchus glaucus,N
Anodorhynchus leari,N
Cyanopsitta spixii,Y
Copsychus sechellarum,N
Malimbus ibadanensis,N
